Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Association Between Public Opinion and Malaysian Government Communication Strategies About the COVID-19 Crisis: Content Analysis of Image Repair Strategies in Social Media (Preprint),"","<sec> <title>BACKGROUND</title> The COVID-19 health crisis has posed an unprecedented challenge for governments worldwide to manage and communicate about the pandemic effectively, while maintaining public trust. Good leadership image in times of a health emergency is paramount to ensure public confidence in governments\xe2\x80\x99 abilities to manage the crisis. </sec> <sec> <title>OBJECTIVE</title> The aim of this study was to identify types of image repair strategies utilized by the Malaysian government in their communication about COVID-19 in the media and analyze public responses to these messages on social media. </sec> <sec> <title>METHODS</title> Content analysis was employed to analyze 120 media statements and 382 comments retrieved from Facebook pages of 2 mainstream newspapers\xe2\x80\x94Berita Harian and The Star. These media statements and comments were collected within a span of 6 weeks prior to and during the first implementation of Movement Control Order by the Malaysian Government. The media statements were analyzed according to Image Repair Theory to categorize strategies employed in government communications related to COVID-19 crisis. Public opinion responses were measured using modified lexicon-based sentiment analysis to categorize positive, negative, and neutral statements. </sec> <sec> <title>RESULTS</title> The Malaysian government employed all 5 Image Repair Theory strategies in their communications in both newspapers. The strategy most utilized was reducing offensiveness (75/120, 62.5%), followed by corrective action (30/120, 25.0%), evading responsibilities (10/120, 8.3%), denial (4/120, 3.3%), and mortification (1/120, 0.8%). This study also found multiple substrategies in government media statements including denial, shifting blame, provocation, defeasibility, accident, good intention, bolstering, minimization, differentiation, transcendence, attacking accuser, resolve problem, prevent recurrence, admit wrongdoing, and apologize. This study also found that 64.7% of public opinion was positive in response to media statements made by the Malaysian government and also revealed a significant positive association (&lt;i&gt;P&lt;/i&gt;=.04) between image repair strategies utilized by the Malaysian government and public opinion. </sec> <sec> <title>CONCLUSIONS</title> Communication in the media may assist the government in fostering positive support from the public. Suitable image repair strategies could garner positive public responses and help build trust in times of crisis. </sec>",,19-02-2021,,,,,,,,#1093,,"",""
"Analysis of preparedness in dealing with volcanic eruption disaster, study case: SMPN 2 Ngemplak Sleman regency","","Abstract In the region of Indonesia, several volcanoes are still active and can erupt at any time. Knowledge of volcanic eruptions is very important for residents around the volcano because it will be related to the preparedness of residents at the time of volcanic eruptions. If the knowledge and preparedness of the citizens are good, it will prevent so many victims. This study aimed to analyze students\xe2\x80\x99 levels of disaster preparedness in the face of catastrophic volcanic eruptions. The research used is a quantitative descriptive method with a research sample of 32 students of class VII SMPN 2 Ngemplak taken by cluster random sampling. The data collection techniques used are interviews, and questionnaires. Based on the results of the study, it can be concluded that the student preparedness index for each indicator of preparedness in the dealing of a catastrophic volcanic eruption is (1) knowledge and attitude 72.40 categorized ready, (2) emergency planning 59.38 categorized almost ready (3) early warning system 61.72 categorized almost ready and (4) resource mobilization is in the index 64.06 with almost ready category. So that the average index value of the four parameters of disaster preparedness of volcanic eruptions is 64.72 with the category almost ready. This research can be used as a basis for the development of teaching materials to help reduce the risk of volcanic eruptions.",,01-01-2022,,,,,,,,#1095,,"",""
Communicating in a Crisis: Risk Communication Guidelines for Public Officials,"",nan,,01-10-2003,,,,,,,,#1098,,Åshild Kolås (2024-05-08 22:35:17)(Screen): This seems very relevant to public emergency communication.; ,""
Amateur Radio Communication Technology Contingency Communication in Emergency Situation,"","Disasters cannot be avoided, but efforts can be made to reduce death, injuries and property damages through better communications and better planning to deal with it before it happen. Thus we need to adopt available technology, like the Amateur Radio Communication Technology (ACT), to face this problem. These include providing awareness, training and support for the communities who adopt the technology for Emergency Communication (EC). Through having more qualified Amateur Radio Communities (ARC) in the adoption of the ARCT, we would be able to improve the communication before, during and after the disasters struck. There are many challenges and issues in the adoption of the ARCT that would part of this study. This article also describes several case studies of communication failure during Hurricane Katrina (2005) in the USA, as well as disasters in several other countries and Malaysia. The tragedies led to failure of existing communication infrastructure, and were reprieved by the help of the voluntary ARC to support the relief agencies in the evacuation and assistance the disaster victims. Therefore, this article will highlight the significant issues that influence the adoption of ARCT in EC.",,01-01-2017,,,,,,,,#1107,,"",""
"Disaster preparedness communication and perception of foreign residents in Kansai, Japan: a socio-cultural study","","There is a misconception that Japan is a monocultural and homogeneous country. The variety of social classes and the increasing rate of foreigners, repatriates and students living in Japan defies this assumption. However, disaster preparedness and communication strategies tend to simplify the problem of multicultural communication in disaster as a purely linguistic issue. This research examines the assumption by Japanese policymakers and media that all residents in the Japanese archipelago are equally equipped with the cultural background and basic knowledge of the \xe2\x80\x98average Japanese\xe2\x80\x99. The research questions were: \xe2\x80\x98how do foreign residents living in Japan perceive disaster preparedness and communication strategies?\xe2\x80\x99 and \xe2\x80\x98what are the factors affecting their perceptions?\xe2\x80\x99. Research findings suggest that the challenges faced by foreign residents go well beyond linguistic barriers and include cultural and social aspects that occur in their daily lives. This paper contributes to a better understanding of the perceived risks for foreign residents in Japan and suggests improvements in preparedness and communication strategies to minimise the vulnerabilities of communities in Japan.",,01-04-2022,,,,,,,,#1110,,Åshild Kolås (2024-05-08 22:17:57)(Screen): This paper is relevant as it deals with public emergency communication directed towards foreigners in Japan.; ,""
Disaster Preparedness Using Augmented Reality/Virtual Reality,"","Disaster preparedness is an important factor that plays a major role in diminishing the casualties in case of any disasters. Training people in society has an important role in facing situations of crisis. Information on procedures to be followed, rules to be obeyed, and actions to be taken and avoided in critical situations are available, but most people are unaware of these procedures and have no prior knowledge to navigate through this safely. Now, to be able to act properly in these situations, society as a whole have to be trained and equipped with advanced technological equipment, and to do so, a huge investment in training equipment development is required. So, in this project, we are planning to use augmented reality (AR) technology to help people get the necessary information and training to navigate the situation. We plan on doing so by creating an application that includes scenarios regarding the evacuation in a disastrous event. The general task of this application is to provide appropriate views based on the underlying scenario and use artifacts that would be used at such times.",,06-10-2022,,,,,,,,#1126,,"",""
Linked Data in Disaster Mitigation and Preparedness,"","The development of information systems which simulate disaster preparedness and mitigation activities requires integration of large amount of data from different diversified data sources. The goal of our work is to provide an effective way to integrate such different, distributed data sources that would bring them into a standardized and exchangeable common data format and then to publish them as Linked Open Data (LOD). We describe different sets of published data sources and how they are interconnected with other sources in the LOD cloud in order to develop an information system which simulates disaster mitigation processes. Examples are provided in order to demonstrate the benefits of this system to vulnerable people and emergency management teams as well as other organizations involved in disaster management.",,01-11-2011,,,,,,,,#1132,,"",""
Tourism Disaster Preparedness Post-COVID-19 Pandemic: The Example of Argentina,"","Purpose: The present chapter includes discussing the effects of COVID-19 in the tourism industry. Although much has been written on COVID-19 in these days, literature emphasizes on the economic devastating consequences of lockdown on tourism industry. The chapter goes in an opposite direction revealing the fears, expectance, and hopes of tourism staff in Argentina. Design-Methodology: Because of the methodological impossibilities to conduct face-to-face interviews, we have employed digital platform to conduct 50 interviews in tourism professionals geographically located in different Argentinean cities as well as coming from different subsectors in the tourism industry. The used method was snowball which means that each interviewee recommended another one once the interview ends. The sample was drawn in 20 females and 30 males from 25 to 55 years old. Findings: The findings suggest three important assumptions. Interviewees expressed some partisan or ideological hostilities against China and Eastern countries. The Chinese tourists were seen with some mistrust for interviewed people as well as the reaction of Chinese government to stop the pandemic. In other cases, old inter-class rivalries were found when interviewees blamed the stranded (rich) tourists as the main carriers of the virus in Argentina-wide. Hostilities and chauvinist expression against neighboring countries such Bolivia or Chile were overtly uttered. These narratives escalate when interviewees manifest their wages have been unilaterally slumped down. By the side, digital technologies offer as fertile ground to exploit new forms of tourism in the years to come. Research Limitations: The obtained outcome should be validated in next approaches because the sample is not statistically representative of the universe. The restrictions imposed by the lockdown impeded further research today. In the same line, the sample was limited to tourism professionals, which suggests that policymakers should be included in the future research. Practical Implications: Understanding the fears and hope of tourism staff is an alternative way to enact sustainable policies to mitigate the negative effects of the pandemic in the tourism industry. While these policies construct a bridge between theory and management, no less true is that the future of tourism remains uncertain. Originality Value: The present chapter provides an original empirical insight into the viewpoint of tourism staff, which is today subject to countless fears and deprivations. The extensive lockdown imposed by Argentinean government, accompanied by the impossibility to orchestrate a preparedness program of mitigation, has led the industry to a slow agony. The chapter reflects the rise of an anti-foreign discourse and sentiment oriented to demonize not only the Chinese (Asian) tourists but also expatriates living abroad. This anti-tourist discourse, which oppose to the neologism offered by Urry as the \xe2\x80\x9ctourist-gaze,\xe2\x80\x9d univocally exhibits the start of a radicalized hospitality we dubbed as \xe2\x80\x9cthe wicked-gaze.\xe2\x80\x9d The \xe2\x80\x9cOther\xe2\x80\x9d is not an object of curiosity any longer, but \xe2\x80\x9ca potential enemy\xe2\x80\x9d to be controlled.",,11-06-2021,,,,,,,,#1133,,"",""
Social media and food crisis communication,"",nan,,01-01-2013,,,,,,,,#1135,,"",""
Social Media in Crisis Communication,"","A recently emerged type of crisis, social media crisis, gathered much attention from the public for its ability to transpire actively and effectively within a short amount of time. This paper identified the importance of social media in crisis communication and how to integrate social media in a crisis communication plan. During crises, social media serves as a two-way tool of communication. On one hand, social media aids an organization\xe2\x80\x99s crisis monitoring process. On the other hand, social media influences how people think about an organization and helps them to gather news on the crisis and responses from the involved organization in crisis times. When the information flows at the speed of light, a business has to be ready to react at a moment\xe2\x80\x99s notice. With a thorough monitoring and a carefully crafted social media crisis management plan, assembling all the strengths of the online platforms, the company\xe2\x80\x99s people and preventative actions, a business can leverage the social media to get through the situation.",,01-01-2014,,,,,,,,#1146,,"",""
Communication barrier-incorporated network modeling for interorganizational opinion formation in emergency events,"","During and after an emergency event, multiple organizations with various specialties are involved in consensus decision-making to reduce the loss of lives and property in a timely manner. However, timely, high-consensus decision-making is challenging due to communication barriers between participating organizations. Thus, this study generalizes a conceptual communication network considering communication barriers by reviewing multiple historical emergencies and proposes a quantitative communication network model by integrating an opinion dynamics model and social network analysis (SNA). An illustrative example is provided by simulating two emergency decision-making scenarios to verify the proposed model. A case study of the 2013 Qingdao oil pipeline explosion is presented to demonstrate the feasibility and applicability of the proposed model. The results of the case study indicate that the proposed model can accurately quantify the impact of communication barriers on the opinion formation time. This research provides a quantitative toolkit for understanding and improving decision-making performance in various emergencies.",,21-07-2022,,,,,,,,#1148,,"",""
Emergency Medical Services Communication Barriers and the Deaf American Sign Language User,"","Objective: We sought to identify current Emergency Medical Services (EMS) practitioner comfort levels and communication strategies when caring for the Deaf American Sign Language (ASL) user. Additionally, we created and evaluated the effect of an educational intervention and visual communication tool on EMS practitioner comfort levels and communication. Methods: This was a descriptive study assessing communication barriers at baseline and after the implementation of a novel educational intervention with cross-sectional surveys conducted at three time points (pre-, immediate-post, and three months post-intervention). Descriptive statistics characterized the study sample and we quantified responses from the baseline survey and both post-intervention surveys. Results: There were 148 EMS practitioners who responded to the baseline survey. The majority of participants (74%; 109/148) previously responded to a 9-1-1 call for a Deaf patient and 24% (35/148) reported previous training regarding the Deaf community. The majority felt that important details were lost during communication (83%; 90/109), reported that the Deaf patient appeared frustrated during an encounter (72%; 78/109), and felt that communication limited patient care (67%; 73/109). When interacting with a Deaf person, the most common communication strategies included written text (90%; 98/109), friend/family member (90%; 98/109), lip reading (55%; 60/109), and spoken English (50%; 55/109). Immediately after the training, most participants reported that the educational training expanded their knowledge of Deaf culture (93%; 126/135), communication strategies to use (93%; 125/135), and common pitfalls to avoid (96%; 129/135) when caring for Deaf patients. At 3 months, all participants (100%, 79/79) reported that the educational module was helpful. Some participants (19%, 15/79) also reported using the communication tool with other non-English speaking patients. Conclusions: The majority of EMS practitioners reported difficulty communicating with Deaf ASL users and acknowledged a sense of patient frustration. Nearly all participants felt the educational training was beneficial and clinically relevant; three months later, all participants found it to still be helpful. Additionally, the communication tool may be applicable to other populations that use English as a second language.",,21-06-2021,,,,,,,,#1149,,"",""
Examination of the Relationship between Organizational Communication sand Crisis Management in Governmental Organizations,"",nan,,01-01-2014,,,,,,,,#1150,,"",""
Emergency Information Communication Structure by Using Multimodel Fusion and Artificial Intelligence Algorithm,"","With the development of The Times, social events are increasing, and emergency management has gradually become the main helper to solve the crisis in the public domain. By observing the current situation of many countries and regions, we can find that various types of public crises often occur in many countries and regions in the world, which have severely affected people's daily life, lives, and property. Through long-term research and analysis, it can be known that the emergency management mechanism currently established in China has certain shortcomings. The communication problem of emergency information is likely to cause the emergency work to not proceed smoothly. In addition, problems in the communication channels of emergency information are likely to cause problems in the cooperation of various departments when people carry out emergency management work, and the efficiency of the government in dealing with problems will also be reduced in real scenarios. In order to improve the efficiency of emergency information management, this paper aims at the various problems existing and facing in the construction of emergency management system. On this basis, the integration of various relevant emergency information management plan models is analyzed and sorted out, and based on the research and integration of the development of artificial intelligence algorithms. The main research results of emergency information management at home and abroad are comprehensively studied and evaluated. Finally, a QG algorithm based on more model fusion is developed. In the process of analysis, this article uses artificial intelligence algorithms to build a prediction model of multiple modes and collects the data needed to build the model by random extraction. Through the analysis of different data sets, it is used as the basic training data for prediction. Through comprehensive analysis, the model constructed in this paper can promote the sharing of emergency information among departments to a certain extent.",,10-10-2022,,,,,,,,#1151,,"",""
War of the Worlds to Social Media: Mediated Communication in Times of Crisis,"","Hayes, J. E., Battles, K., & Hilton-Morrow, W. (Eds.). (2013). War of the Worlds to Social Media: Mediated Communication in Times of Crisis. New York, NY: Peter Lang, 292 pagesAnyone who has taught...",,03-07-2014,,,,,,,,#1152,,"",""
Major Hazard Industries Disaster Preparedness: An Empirical Study of Liquified Petroleum Gas Storage Facilities,"",nan,,01-01-2023,,,,,,,,#1154,,"Åshild Kolås (2024-05-08 22:33:43)(Screen): This would be relevant if it discusses warning or other communication to the public, or communication among relief agencies and other entities and organizations, rather than corporate crisis management.; ",""
Pre-Disaster Restoration Measure of Preparedness for Post-Disaster Restoration in Tokyo,"","Learning from the 1995 Hanshin-Awaji Earthquake, Tokyo Metropolitan Government has been preparing the restoration and reconstruction measures from a huge amount of damages caused by next Tokyo Earthquake. We are developing the methodology of earthquake restoration exercise with local government and residents according to TMG's restoration measures. In this paper, such unique trials of pre-disaster restoration measures in Tokyo are introduced and evaluated.",,01-12-2008,,,,,,,,#1159,,"",""
Analyzing Malaysians\xe2\x80\x99 perception of risk in developing radiological and nuclear crisis communication framework,"","Crisis communication is an indicator of a sustaining public normalcy that serves to control and decrease any untoward situations during disasters\xe2\x80\x99 meltdown. Prior findings highlighted that 25.85 percent of arising organizational disputes can be resolved using public announcements and an enhancement of public awareness through avoiding related dissatisfactions, disorders and untoward circumstances during radiation and nuclear emergencies. Hence, in this paper, we are interrogating Malaysians on their perception of risk regarding to radiation and nuclear disasters and emergencies. The principal aim is to identify the relationship between the IAEA\xe2\x80\x99s initiated risk perception characteristics and the content of the respective public acceptance reports. Those relationships are described and analyzed into a network diagram using the ATLAS.ti software consisting of Clustering and C-Coefficient analyses. This diagram identifies the main variables relating to significant characteristics of risk perception. Future studies should further evaluate the intensity of public opinion against the suggested constructs of executing a thorough and structured risk management mechanism, to advance public trust as well as crisis communication.",,01-01-2015,,,,,,,,#1162,,"",""
Towards impact-based communication during emergencies: Development of site-specific warning services in Catalonia,"","&amp;lt;p&amp;gt;Early warning systems are a critical element for flood risk reduction. If properly designed and disseminated, flood warnings can empower citizens and communities at risk by enhancing their preparedness and their response capacity during a flood event to reduce the possibility of personal injury or loss of life. Nevertheless, the reported situations where citizens did not react to warnings keep increasing, regardless if timely warnings were issued in the area. Receiving an official flood warning is not enough to guarantee appropriate proactive responses and self-protective behaviours from citizens during weather-related emergencies.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Flood warnings should aim to communicate clear and relevant local information on how floods might have an impact on citizens and what actions they can do to ensure their safety. Site-Specific Warnings (SSWs) are proposed as a step towards impact-based communication for citizens during weather-related emergencies.&amp;amp;#160; The SSWs aim to translate meteorological and hydrological hazards into location-specific impacts and thus, propose appropriate local self-protection actions using local vulnerability and exposure information.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;In this work, a prototype of SSWs has been developed for previously defined vulnerable points in the city of Blanes, Spain. As part of the first stage of implementation, a mobile app has been designed to serve as a risk communication platform during emergencies. The SSW app can inform users in real-time, the current warning level of vulnerable sites in the city on Blanes and the appropriate protective actions to be performed by citizens on each location to minimize consequences. Further components are the capability of users receiving official messages from authorities regarding a site risk level and the possibility of linking the SSW app to tailor-made multi-hazard early warning system platforms for operational authorities.&amp;lt;/p&amp;gt;&amp;lt;p&amp;gt;Finally, by moving towards warnings that can help citizens respond appropriately and effectively during a crisis, SSWs could play a central role in promoting a shift on how societies and authorities currently deal with weather-induced emergencies and their associated impacts.&amp;lt;/p&amp;gt;",,11-03-2020,,,,,,,,#1163,,"",""
European Communication and Information Industries in Times of Crisis: Continuities and Transformations,"",nan,,12-06-2015,,,,,,,,#1170,,"",""
From response to preparedness: Enhancing community-led disaster risk management in Malawi,"",nan,,01-01-2023,,,,,,,,#1171,,"",""
Preparedness of Disaster Management of Landslides in the livelihoods of Kulon Progo district,"","A landslide is one of the natural disasters that frequently appear during the rainy season. Society has confronted this natural disaster, and it is important to decrease the vulnerable impact at the household level. Preparedness refers to the effort made to expand awareness and readiness for handling the dangers and preventative actions related to them. The aim of the paper is to analyze the correlations between livelihoods and preparedness stages in a landslide disaster area in Kulon Progo. The independent variables are defined as human-, social-, physical-, natural-, and financial capital and transformation in structure and process. Preparedness is the dependent variable. The Chi-squared analysis was applied to answer the objective. The unit analysis of this study is households, and we collected 300 households based on stratified random sampling at the research site. Kulon Progo has been chosen since the geographical pattern is hilly. Households appear to have the average level of disaster management preparedness (37.3%). Based on the strengthening of relations, the belief in keeping away from bad behavior based on ancestors\xe2\x80\x99 advice has the highest CC to preparedness phase (0.396) with \xcf\x87\xc2\xb2 55.554**. It found that belief and religiosity levels have a strong contingency correlation among household capitals.",,01-01-2023,,,,,,,,#1177,,"",""
Crisis Communication in Major Disaster Using Natural Language Processing,"",nan,,23-03-2016,,,,,,,,#1179,,"Åshild Kolås (2024-05-08 22:25:23)(Screen): Does the paper describe public emergency warning systems? If so, it might be relevant.; ",""
Tasks of the Hungarian Defence Forces in disaster and crisis situation: Communication and information services and capabilities,"","Nowadays, the number of disaster and other crisis situations are growing, and the tasks of the Hungarian Defence Forces are significant. The National Disaster Management is the most important organization, but the Hungarian Defence Forces possess special equipment, and technical devices, so they take part in these situations as the other organizations like Law Enforcement, Hungarian Ambulance Services, and other civilian services. The defence forces have complex communication and information system, which build-up modular elements, so it is easy to use for command and control in these kind of tasks. In this article, the author shows the disaster relief tasks of the Hungarian Defence Forces, and the military communication and information capabilities in these crisis, and disaster situations.",,01-10-2016,,,,,,,,#1184,,"",""
"DISASTER PREPAREDNESS TOWARDS COMMUNITIES\xe2\x80\x99 ANXIETY (A LANDSLIDE CASE STUDY IN LAMKLENG VILLAGE, ACEH BESAR)","","The impacts of landslide are loss of life, people and livestock get injury, infrastructure, agricultural land, housing damage, economic loss, and anxiety experienced. Anxiety will have negative impacts, such as panic and respiratory disorders. This study aimed to analyze the correlation between disaster preparedness and anxiety, the effect of disaster preparedness on anxiety, the level of community disaster preparedness, and the level of community anxiety. This study used a correlational quantitative research design. A questionnaire of Google forms was used as a data collection technique. LIPI-UNESCO/ISDR was a parameter scale for preparedness variables, and HARS (Hamilton Anxiety Rating Scale) for anxiety variables. The total number of respondents was 74, and a random sampling technique and Slovin's formula were used to select the sample for this study. Data sources are secondary data and primary data. Descriptive statistics, univariate analysis, and Pearson product-moment were used for analyzing the data. The disaster preparedness in Lamkleng was in the almost ready category with an index of 63, and the community's anxiety level was 85.1% and in the serious category, and there was a relationship between disaster preparedness and anxiety.",,31-01-2023,,,,,,,,#1186,,"",""
"Disaster resilience through the lens of administrative and social media data: preparedness, response, and recovery","","With the growing consequences of climate change, the frequency and magnitude of disasters are rapidly increasing. In addition, in the twenty-first century, pandemics have become increasingly common and complicated all across the world. Consequently, social resilience has become more and more important in response to the social ramifications of these events. The reactions of community members to disasters, including specific behavioral patterns, vary depending on many factors, including the type of the events. These differences can be observed from the form and intensity of interactions among the community members - to the speed and quality of recovery and the bounce-back process, also referred to as social resilience. Social resilience is ""the ability of social entities to endure, absorb, manage, and adjust to various kinds of threats."" (Aldrich &amp; Meyer, 2015; Berkes &amp; Ross, 2013; Hutter et al., 2013)The diversity of types of destructive and life-threatening disasters means that communities are facing a wide range of different kinds of threats. How communities respond varies by community. Therefore, the nature and implications of the disasters, including communities' preparedness, response, and recovery processes, need to be studied through perspectives that capture both those communities' characteristics as well as the disasters'. Administrative data resources provide an opportunity to study the effects of different disasters as well as how the community responds. Social media data provides another source of information about disasters that can help policy makers be more situationally aware, leading to better decision-making before, during, and after a catastrophe. Given that the use of social media is widespread, particularly during disruptive events, analysis of this data can be especially valuable. Nowadays, data and policy are quite entangled and have a reciprocal interaction. Using big data sources in disaster policy making can uncover major inefficiencies in disaster preparedness, leads to improvement strategies for constituent-government engagement in disaster mitigation, or building automated resilience tool derived from real-time, naturally occurring social media data. This dissertation research uses both administrative and social media data to illustrate disaster resilience in selected Massachusetts' communities. The main idea of the study is to present the overlooked opportunities as well as vulnerabilities that can enhance disaster resilience or lead to misinformed policies using big data analysis. --Author's abstract",,10-02-2023,,,,,,,,#1188,,"",""
Disaster preparedness under the decentralization system of governance in Uganda,"","The study sought to determine the levels of disaster preparedness under decentralization among selected districts in Uganda. The districts targeted were 17 and the respondents were district disaster management personnel, in the office of the Chief Administrative Officer, local council members who are the legislators, district disaster management committees and representatives from the community. The results indicated that there is poor capacity on the part of staff in understanding the key standards that relate to disaster responsiveness. The personnel holding these portfolios are not well trained to handle emergency response. 89% of the districts covered had no facilities to evacuate the vulnerable in case of a disaster. However, planning is done at district level and this creates plans for emergencies that have localized dimensions. Resource utilization for disaster preparedness activities can be incorporated in the other plans using locally generated resources. The efforts to build the capacity of the district personnel as well as that of the community to understand the dynamics of disaster management should be done. In conclusion therefore, it should be noted that it is a human right for vulnerable and resource constrained communities and populations to be protected against problems brought about by disasters. By looking at the challenges associated with managing disasters, and by studying the opportunities presented by the decentralization system in Uganda, better options could be generated to establish a more sustainable mechanism to reduce the losses associated with disasters both in terms of human and other resources.",,11-05-2011,,,,,,,,#1192,,"",""
D6.6 Harmonisation opportunities on the preparedness and cross-sectorial collaboration for first aid response to multi-casualty disasters M18,"",nan,,31-03-2023,,,,,,,,#1194,,"",""
Role of Communication and Technology in Crisis Management,"","This study aims to indicate the role of the communication process and new technologies in the crisis management, by showing deferent concepts related to the crisis management, its phases, how can we manage crisis using communication, and how can we use technology to manage crisis. The main idea of this study is that stakeholders (internal or external) are very important to overcome on a crisis, and every organization must identify the full range of its stakeholders, so it can receive their help when it is necessary.",,12-06-2018,,,,,,,,#1201,,"",""
"Disaster Preparedness in Aplaya Coastal Community, Digos City, Philippines","","When disasters happen, people are defenseless for disasters cannot be avoided nor predicted even in highly developed countries throughout the world. This study aimed to explore and determine the disaster preparedness of Aplaya, a coastal community in Digos City, Philippines. It focused only on their ways of preparing for disasters and the needs of enhancing their disaster preparedness. Using qualitative phenomenological research design, focus group discussion, and in-depth interviews were conducted with selected residents of the communities in Apalya, Digos City. Results revealed that their ways of preparing for disasters had been through alertness to the community alarm system, participation in drills, adherence to a warning of friends from upland areas and listening to a warning from Community officials. Moreover, the community needs the infrastructure support through the renovation of the dike, active participation of the community members and evacuation center within the community. The implication of this study is for government officials especially those that are incharge of disaster preparedness and relief operation to look into the possibility of organizing communities for active participation during disaster preparedness and relief operation, for the academe to provide the expertise needed for disaster preparedness and for the community to utilize whatever traditional skills and practices that have employed which had been proven effective in preparing for disaster in the past.",,16-04-2016,,,,,,,,#1202,,"",""
"Disaster Preparedness and Resilience at Household Level in Yangon, Myanmar","","Abstract Resilience has become important in disaster preparedness and response. Unfortunately, little is known about resilience at the household level. This study presents the results of a survey into individual and household level preparedness to disaster events in Yangon, Myanmar, which is prone to natural disasters such as tropical cyclones, flooding, and earthquakes. The study aimed to understand societal resilience and to provide information that could be used to develop a holistic framework. In four different Yangon townships, 440 households were interviewed. The results of the survey indicate how risk preparedness could be improved by specific measures related to the following five factors: 1) increasing the general public\xe2\x80\x99s knowledge of first-aid and its role in preparedness; 2) improving mobile phone infrastructure so that it can be used for communication during disasters, along with building up a redundant communication structure; 3) better use and organisation of volunteer potential; 4) more specific involvement of religious and public buildings for disaster response; and 5) developing specific measures for improving preparedness in urban areas, where the population often has reduced capacities for coping with food supply insufficiencies due to the high and immediate availability of food, shops and goods in regular times. The findings of this survey have led to specific recommendations for Yangon. The identified measures represent a first step in developing a more general framework. Future research could investigate the transferability of these measures to other areas and thus their suitability as a basis for a framework.",,23-07-2021,,,,,,,,#1204,,"",""
A Toxic Cloud of Smoke: Communication and Coordination in a Transboundary Crisis,"","This chapter analyses what should have been a routine crisis: a fire at a chemical plant near Rotterdam. At the operational level, it was effectively treated as a routine incident. The fire services performed adequately. But this routine crisis turned into a stress test for the Dutch crisis response system. As a cloud of smoke crossed the local and regional boundaries that make up the Dutch system, collaboration between the safety regions began to flounder. Different actors communicated different messages to the public. The national level became involved. In the end, the response appeared chaotic and ineffective. This chapter analyses how and why the Dutch national response system could not cope with this prototype of a transboundary crisis.",,26-07-2018,,,,,,,,#1205,,"",""
A New Algorithm for Stable Communication in Wireless Emergency Network,"","Emergency communication has been intensively investigated for solving suddenly-occurred events of public safety. Wireless network can play an important role of information acquisition and command decision-making in disaster areas, so a new Wireless Emergency Communication (WEC) algorithm is proposed in this paper. This algorithm possesses the characteristics of quick, stability, low energy and high reliability. The test results show that wireless emergency network adopting this algorithm can achieve the optimal stable communication.",,01-05-2011,,,,,,,,#1208,,"",""
Online Communication by Emergency Responders during Crisis Events,"","Social media have become critical components of all phases of crisis management, including preparedness, response, and recovery. Numerous recent events have demonstrated that during extreme occurrences (such as natural hazards, civil unrest, and domestic terrorist attacks), social media platforms are appropriated for response activities, providing new infrastructure for official responders to disseminate event-related information, interact with members of the public, and monitor public opinion. Emergency responders recognize the potential of social media platforms and actively use these technologies to share information and connect with constituents; however, many questions remain about the effectiveness of social media platforms in reaching members of the public during times of crisis. Moreover, there is a strong tendency for research to focus on the behavior of the public rather than on that of official emergency responders. This chapter reviews prior and ongoing work that contributes to our understanding of usage practices and the effectiveness of networked online communication during times of crisis. In particular, it focuses on empirically driven research that utilizes large-scale data sets of behavioral traces captured from social media platforms. Together this body of work demonstrates how computational techniques combined with rich, curated data sets can be used to explore information and communication behaviors in online networks.",,09-10-2018,,,,,,,,#1210,,"",""
Mine Risk Assessment Based on Location and Monitoring Emergency Communication System,"","Mine emergency communications are poor by general industry standards, and generate significant risks in the lack of information available from underground areas. Coal mines often employ multiple incompatible systems for communication. The paper concludes that an improved communications system would allow real time risk assessment to be carried out at the coal mine, and the requirements for monitoring, assessment and decision making have been investigated for some common hazards. These include ventilation issues, strata control and emergency response. This would incorporate the latest technologies in safety management and real time risk assessment, using computer-based assessment, assisted decision making, and virtual reality. Results show that the greatest needs are for an emergency communication system that has a common standard, has wide band capacity, and allows for easy connectivity for sub-networks which are customized for specific applications.",,01-01-2012,,,,,,,,#1212,,"",""
Analysis of Dengkeng river flood disaster preparedness in Cawas District,"","Abstract Cawas District is an area that has a high potential for flood risk. One of the causes of flooding in Cawas District is the collapse of the Dengkeng river embankment. Other factors that cause flooding include the narrowness of the river flow in the east, the amount of garbage blocking the flow of the Dengkeng river, flooding from the Bayat area, and the delay in opening the dam\xe2\x80\x99s floodgates. To find out the preparedness of the community in Cawas District in the face of flooding, a study was carried out. The research was conducted using qualitative methods. The data collection uses interview, observation, and documentation techniques. While the data analysis using componential analysis techniques. To support the research results are attached: Dengkeng sub-watershed map and flood event map in Cawas District. Based on the research, it can be concluded that the level of preparedness of the community on the banks of the Dengkeng River in Cawas District in dealing with flooding is not ready.",,01-06-2023,,,,,,,,#1214,,"",""
